GROUP,DENSITY,npp,biodiv,pathos,ID,DENZ,ID2,biodivZ,nppZ,pathosZ
Harney Valley Paiute,0.0124,465.6016067,0.205703295,-0.895597315,HG,-0.632222222,0,-0.416405036,-0.893176188,-1.067164745
Salmon-eater Shoshoni,0.069,468.965054,0.206948815,-0.891664643,HG,-0.475,0,-0.407508464,-0.888294552,-1.059744609
Kawich Mountain Shoshoni,0.0199,474.0018573,0.168457083,-0.769793846,HG,-0.611388889,0,-0.682449407,-0.880984242,-0.829799709
Bannok,0.0231,474.0018573,0.213877855,-0.903099049,HG,-0.6025,0,-0.358015321,-0.880984242,-1.08131896
Ingalik,0.0271,474.4731272,0.116878552,-0.928493535,HG,-0.591388889,0,-1.050867486,-0.880300251,-1.129233085
Little Smokey Shoshoni,0.01822,484.0454138,0.191416437,-0.81039262,HG,-0.616055556,0,-0.518454021,-0.866407237,-0.90640117
Attawapiskat Cree,0.0143,484.0571194,0.108949582,-0.968721859,HG,-0.626944444,0,-1.107502986,-0.866390248,-1.205135583
Grouse Creek Shoshoni,0.0164,487.3843839,0.208511586,-0.868782475,HG,-0.621111111,0,-0.396345814,-0.861561126,-1.016570708
Reese River Shoshoni,0.167,492.3845324,0.18943808,-0.802951127,HG,-0.202777778,0,-0.532585143,-0.854304017,-0.892360617
Kaska,0.0066,493.7968499,0.145472873,-0.964438192,HG,-0.648333333,0,-0.846622336,-0.852254209,-1.197053192
Wenatchi,0.5017,495.7124356,0.25299082,-0.92675348,HG,0.726944444,0,-0.078637,-0.849473969,-1.125949962
Washo,0.149,497.3747306,0.227242877,-0.785524606,HG,-0.252777778,0,-0.262550879,-0.847061349,-0.859480389
Uintah-ute,0.0748,500.6960111,0.237939201,-0.846154933,HG,-0.458888889,0,-0.186148564,-0.842240913,-0.973877232
Pintubi,0.015,505.6696692,0.126801476,-0.359354538,HG,-0.625,0,-0.979989457,-0.835022251,-0.055385921
Antelope Valley Shoshoni,0.0113,507.3253548,0.197512577,-0.841148328,HG,-0.635277778,0,-0.474910164,-0.832619224,-0.964430808
Mono Lake Paiute,0.059,512.2858205,0.215051735,-0.75857692,HG,-0.502777778,0,-0.349630464,-0.825419709,-0.808635698
Chugash,0.0648,513.7474728,0.12473965,-0.941778233,HG,-0.486666667,0,-0.994716786,-0.823298298,-1.154298553
Anotarianunt Southern Paiute,0.0345,520.5313364,0.205622809,-0.79441764,HG,-0.570833333,0,-0.416979936,-0.813452342,-0.876259698
Arenda (northern),0.0266,523.8218854,0.176107161,-0.481642389,HG,-0.592777778,0,-0.627805993,-0.808676509,-0.286117715
Umatiela,0.105,525.4655219,0.207356708,-0.914212772,HG,-0.375,0,-0.404594943,-0.80629097,-1.102288249
Blood,0.0051,529.1262721,0.134885084,-0.965304984,HG,-0.6525,0,-0.9222494,-0.800977834,-1.198688649
Round Lake Ojibwa,0.0175,529.1262721,0.134885084,-0.965304984,HG,-0.618055556,0,-0.9222494,-0.800977834,-1.198688649
Angmaksaslik,0.0531,529.1262721,0.048670606,-0.890821782,HG,-0.519166667,0,-1.5380671,-0.800977834,-1.058154306
Kaibab Southern Paiute,0.0371,538.5753984,0.20415451,-0.773675555,HG,-0.563611111,0,-0.427467786,-0.787263573,-0.837123689
Alyawara,0.0121,540.2092418,0.146856557,-0.450357673,HG,-0.633055556,0,-0.836738879,-0.784892247,-0.227089949
Okanogan,0.1327,540.2092418,0.264135899,-0.94454302,HG,-0.298055556,0,0.000970707,-0.784892247,-1.159515132
Kuskowagmut,0.173,544.8645412,0.095878869,-0.9163169,HG,-0.186111111,0,-1.200865221,-0.778135644,-1.106258302
Shuswap,0.124,544.8645412,0.223033133,-0.965908849,HG,-0.322222222,0,-0.292620479,-0.778135644,-1.199828017
Rupert House Cree,0.009,550.1909329,0.138435305,-0.949854567,HG,-0.641666667,0,-0.896890679,-0.770405032,-1.169536919
Kariera,0.095,553.2410073,0.177803693,-0.038544004,HG,-0.402777778,0,-0.615687907,-0.765978219,0.549916974
Sheep-eater Shoshoni,0.0624,564.5871543,0.247345128,-0.924796054,HG,-0.493333333,0,-0.118963371,-0.749510661,-1.122256706
Nunavak,0.1922,566.4121203,0.043772719,-0.894260925,HG,-0.132777778,0,-1.573052007,-0.746861944,-1.064643255
Bear Creek Paiute,0.011,574.2705369,0.215524865,-0.89738539,HG,-0.636111111,0,-0.346250964,-0.735456405,-1.070538472
Sinkaietk,0.1451,574.2705369,0.261236973,-0.939766881,HG,-0.263611111,0,-0.019735907,-0.735456405,-1.150503549
Pitjandjara,0.006,575.8806867,0.14513141,-0.411276638,HG,-0.65,0,-0.849061357,-0.733119468,-0.153352147
Beaver,0.0051,577.4286087,0.153770238,-0.976023975,HG,-0.6525,0,-0.787355443,-0.730872847,-1.21891316
Luiseno,0.679,580.704726,0.225705377,-0.605167333,HG,1.219444444,0,-0.273533021,-0.726117959,-0.519183647
Gros-Ventre,0.0337,580.704726,0.168392905,-0.954580401,HG,-0.573055556,0,-0.682907821,-0.726117959,-1.178453587
Blackfoot,0.0346,585.5191654,0.150555544,-0.971504257,HG,-0.570555556,0,-0.810317543,-0.719130384,-1.210385391
Surprise Valley Paiute,0.1359,590.324024,0.218583498,-0.849686621,HG,-0.289166667,0,-0.324403586,-0.712156714,-0.980540794
Peigan,0.0254,599.905075,0.171559955,-0.962893764,HG,-0.596111111,0,-0.660286036,-0.69825098,-1.194139177
Salinan,0.374,601.498209,0.2725265,-0.666245314,HG,0.372222222,0,0.060903571,-0.695938739,-0.634425121
Ojibwa (Northern Albany),0.0143,605.6813298,0.130576208,-0.951424866,HG,-0.626944444,0,-0.953027086,-0.689867446,-1.172499747
!Ko,0.0103,607.8601773,0.19305607,-0.113010906,HG,-0.638055556,0,-0.506742357,-0.686705113,0.409413385
Gilyak,0.6,611.4541773,0.202169773,-0.556010984,HG,1,0,-0.441644479,-0.681488857,-0.426435819
Pekangekum Ojibwa,0.0308,617.2678618,0.155515092,-0.962387734,HG,-0.581111111,0,-0.7748922,-0.673050999,-1.193184404
Jaralde,0.4,620.5335338,0.230888451,-0.468474245,HG,0.444444444,0,-0.236511064,-0.668311272,-0.26127216
Modoc,0.0562,622.1129751,0.24830557,-0.857880227,HG,-0.510555556,0,-0.112103071,-0.666018904,-0.996000428
Northern Saulteaux,0.012,629.0178117,0.174457666,-0.9684539,HG,-0.633333333,0,-0.6395881,-0.655997371,-1.20463
Waswanip Cree,0.0041,629.0178117,0.154494851,-0.935303544,HG,-0.655277778,0,-0.782179636,-0.655997371,-1.142082158
Sanpoil,0.112,644.1153873,0.218875599,-0.938671203,HG,-0.355555556,0,-0.32231715,-0.634085069,-1.148436232
G/Wi,0.0293,647.2419256,0.210085397,-0.062655894,HG,-0.585277778,0,-0.385104307,-0.629547278,0.504422842
Kua,0.0636,648.8036384,0.215169792,-0.043856119,HG,-0.49,0,-0.3487872,-0.627280641,0.539894115
Northern Foothill Yokuts,0.3829,653.4825598,0.208490135,-0.730760075,HG,0.396944444,0,-0.396499036,-0.620489754,-0.756151085
Plains Cree,0.0273,659.1079622,0.175930157,-0.974947019,HG,-0.590833333,0,-0.629070307,-0.612325164,-1.216881168
Utewimonantci,0.026,662.8124877,0.228705431,-0.778583171,HG,-0.594444444,0,-0.252104064,-0.606948494,-0.846383342
Gabrielino,0.649,665.9142127,0.227897467,-0.621448548,HG,1.136111111,0,-0.257875236,-0.602446716,-0.549902921
Crow,0.0581,665.9142127,0.204638175,-0.931062794,HG,-0.505277778,0,-0.424013036,-0.602446716,-1.134080743
Diegueno,0.181,672.1053191,0.207970284,-0.567328947,HG,-0.163888889,0,-0.400212257,-0.593461075,-0.447790466
Bohogue-Northern Shoshoni,0.0104,678.2800038,0.214058564,-0.892715751,HG,-0.637777778,0,-0.356724543,-0.584499269,-1.061727832
Chilcotin,0.1152,682.9002667,0.187505642,-0.949104506,HG,-0.346666667,0,-0.546388271,-0.577793517,-1.168121709
Karuna,0.18,689.046318,0.245220456,-0.46674063,HG,-0.166666667,0,-0.1341396,-0.568873269,-0.258001189
Tjapwurong,0.35,689.046318,0.217837799,-0.472462507,HG,0.305555556,0,-0.329730007,-0.568873269,-0.268797183
